Treat,Sample_type,Layer,Spot,Sample,Replicat,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
Sp,Soil_Sp,10_30,1215,1215_10_30,3,2135,625.629,241.508,360.919,120.305,22.596,147.196,0.206,148.405,561,202,142.667,37.736,5.324,0.188,0.515
Sp,Soil_Sp,10_30,1215,1215_10_30,3,182,1021.687,830,48.971,15.248,15.197,90,0.954,17.205,1016,823,125.538,14,1.003,0.997,0.978
Sp,Soil_Sp,10_30,1215,1215_10_30,3,225,448.011,915.66,55.799,19.622,14.6,10.227,0.908,20.591,439,920,29.055,14,1.344,0.744,0.962
Sp,Soil_Sp,10_30,1215,1215_10_30,3,311,890.789,959.445,66.426,23.11,17.134,131.488,0.886,24.166,884,949,114.444,16.971,1.349,0.741,0.931
Sp,Soil_Sp,10_30,1215,1215_10_30,3,214,986.617,964.168,55.456,19.607,13.896,76.573,0.874,20.591,982,973,60.945,14,1.411,0.709,0.947
Sp,Soil_Sp,10_30,1215,1215_10_30,3,446,2006.011,995.146,81.355,25.19,22.544,36.536,0.847,28.425,1997,1006,39.289,22,1.117,0.895,0.957
Sp,Soil_Sp,10_30,1215,1215_10_30,3,363,701.784,1197.191,68.77,23.68,19.518,31.917,0.965,25.06,691,1204,28.61,19.799,1.213,0.824,0.971
Sp,Soil_Sp,10_30,1215,1215_10_30,3,417,563.917,1249.366,82.042,28.487,18.638,0.61,0.779,30.529,551,1257,31.608,18,1.528,0.654,0.948
Sp,Soil_Sp,10_30,1215,1215_10_30,3,8388,2374.49,1462.962,1226.413,135.861,78.609,73.257,0.07,329.296,2218,1585,61.723,205.341,1.728,0.579,0.184
Sp,Soil_Sp,10_30,1215,1215_10_30,3,205,1549.163,1354.139,51.799,17.324,15.067,168.607,0.96,18.868,1541,1350,147.995,14,1.15,0.87,0.976
Sp,Soil_Sp,10_30,1215,1215_10_30,3,377,962.98,1432.081,73.941,24.541,19.559,137.734,0.867,27.203,953,1422,143.973,21.8,1.255,0.797,0.937
